['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'morkro', 1, 1, 1, '2018-01-14', '2018-01-14']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'macrozone', 1, 2, 1, '2018-12-30', '2018-12-30']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'lucasterra', 1, 212, 0, '2018-08-12', '2018-08-12']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'jpetitcolas', 1, 2, 2, '2018-08-05', '2018-08-05']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'jolyonruss', 1, 11092, 0, '2017-11-19', '2017-11-19']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'ipaintcode', 1, 1, 1, '2018-03-18', '2018-03-18']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'imgbot[bot]', 1, 0, 0, '2018-12-30', '2018-12-30']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'ikappas', 1, 19, 3, '2018-01-07', '2018-01-07']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'howardya', 1, 8, 3, '2017-10-22', '2017-10-22']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'guyb7', 1, 77, 57, '2017-12-24', '2017-12-24']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'greenkeeper[bot]', 1, 6, 4, '2017-11-05', '2017-11-05']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'gitter-badger', 1, 2, 0, '2016-06-05', '2016-06-05']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'gihrig', 1, 15, 13, '2016-05-08', '2016-05-08']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'fix-fix', 1, 1, 1, '2018-03-18', '2018-03-18']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'fireyy', 1, 1, 0, '2016-02-21', '2016-02-21']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'faheempatel', 1, 1, 1, '2018-06-17', '2018-06-17']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'eyelidlessness', 1, 1, 1, '2017-08-06', '2017-08-06']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'ericvicenti', 1, 19, 5, '2018-07-22', '2018-07-22']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'erchaves', 1, 12, 0, '2019-07-14', '2019-07-14']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'ducdev', 1, 3, 3, '2018-10-14', '2018-10-14']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'dominicrico', 1, 2, 2, '2019-08-11', '2019-08-11']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'dfreire', 1, 853, 485, '2019-07-14', '2019-07-14']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'davidnguyen179', 1, 297, 0, '2018-06-17', '2018-06-17']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'd4rky-pl', 1, 750, 27, '2017-12-03', '2017-12-03']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'chrisfitkin', 1, 1, 1, '2016-12-04', '2016-12-04']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'btzr-io', 1, 2, 0, '2018-02-18', '2018-02-18']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'brodybits', 1, 0, 3, '2019-04-14', '2019-04-14']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'bkonkle', 1, 2, 2, '2018-08-12', '2018-08-12']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'bjrnt', 1, 2, 2, '2017-07-09', '2017-07-09']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'bjenkins24', 1, 2, 2, '2018-03-04', '2018-03-04']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'benjaminhobbs', 1, 1, 1, '2018-06-10', '2018-06-10']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'bdo', 1, 1, 0, '2018-06-24', '2018-06-24']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'alexparish', 1, 15, 0, '2018-07-08', '2018-07-08']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'aaronchenwei', 1, 1, 1, '2018-12-30', '2018-12-30']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'WolfDan', 1, 330, 0, '2017-10-01', '2017-10-01']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'TintypeMolly', 1, 1, 1, '2019-07-14', '2019-07-14']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'Thammada', 1, 7438, 0, '2017-12-10', '2017-12-10']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'SekibOmazic', 1, 1, 1, '2017-10-08', '2017-10-08']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'SaraVieira', 1, 5, 0, '2019-05-19', '2019-05-19']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'R0bson', 1, 56, 71, '2016-09-11', '2016-09-11']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'MrLoh', 1, 0, 4, '2018-09-09', '2018-09-09']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'JakeCooper', 1, 4733, 228, '2018-02-11', '2018-02-11']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'HofmannZ', 1, 3, 5, '2018-05-27', '2018-05-27']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'FabioAntunes', 1, 5, 1, '2017-09-10', '2017-09-10']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'Enalmada', 1, 37, 57, '2018-11-04', '2018-11-04']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'EmilTholin', 1, 2, 2, '2018-06-10', '2018-06-10']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'DavidSunny', 1, 2, 2, '2017-11-19', '2017-11-19']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'Aleksion', 1, 5, 4, '2019-08-11', '2019-08-11']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'wedneyyuri', 2, 6, 2, '2016-05-29', '2016-06-12']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'tgriesser', 2, 9, 2, '2018-06-03', '2018-06-03']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'snyk-bot', 2, 2, 2, '2019-02-03', '2019-04-14']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'sepal', 2, 7, 1, '2016-02-28', '2016-02-28']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'olehreznichenko', 2, 2, 3, '2018-01-14', '2018-10-21']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'nimaa77', 2, 16, 4, '2019-06-16', '2019-06-16']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'hrasoa', 2, 19, 8, '2018-09-09', '2018-09-09']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'fabianishere', 2, 8, 2, '2019-01-27', '2019-02-03']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'ericclemmons', 2, 15, 1, '2017-05-21', '2018-07-29']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'do917', 2, 7, 7, '2019-08-11', '2019-08-11']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'david-potgieter', 2, 356, 0, '2018-08-19', '2018-08-19']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'daveli', 2, 2, 2, '2018-06-10', '2018-06-10']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'benhamlin', 2, 1, 11, '2018-05-27', '2018-06-10']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'NoPayneNoGame', 2, 497, 0, '2019-06-16', '2019-06-16']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'LASkuma', 2, 17, 14, '2016-02-28', '2016-02-28']
['razzle', 'jaredpalmer', 8111, 'JavaScript', 95, 'justingreenberg', 3, 24, 19, '2016-06-05', '2016-06-05']
